DEBUG:root:Sending udp packet
DEBUG:root:Received Message: 01110003000000009041ff
DEBUG:root:Received Message: 01110003000000009051ff
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
DEBUG:root:Starting Python Program
